model,n,prefers_gt_seq_pct,numeric_accuracy_pct,proxy_confusion_pct,mean_avg_margin,median_avg_margin,mean_entropy_step1,pmi_available_pct,pmi_agreement_pct,prefers_gt_pmi_pct,token_sequence_n,token_sequence_agreement_pct,both_prefer_gt_pct,both_prefer_proxy_pct
LLaVA-OV-7B,163,84.66257668711657,80.98159509202453,14.11042944785276,3.7632778631823216,5.281249798834324,0.520682339356538,100.0,94.47852760736197,82.20858895705521,112,99.10714285714286,91.07142857142857,8.035714285714286
Qwen2.5-VL-3B,163,72.39263803680981,80.3680981595092,12.883435582822086,2.3759945803724323,2.71875,0.4890250029519522,99.38650306748467,88.88888888888889,79.01234567901234,112,92.85714285714286,86.60714285714286,6.25
Qwen2.5-VL-7B,163,90.1840490797546,85.2760736196319,7.975460122699387,5.046048293702956,7.1875,0.16775711674701727,100.0,97.54601226993866,90.1840490797546,112,95.53571428571429,88.39285714285714,7.142857142857142
